english,french
Conversational interface,Interface utilisateur conversationnelle
Conversational user interface,Interface utilisateur conversationnelle
Convex function,Fonction convexe
Convex optimization,Optimisation convexe
Convex set,Ensemble convexe
Convnet,Réseau convolutif
Convolution,Convolution
Convolution network,Réseau de neurones convolutifs
Convolution neural network,Réseau convolutif
Convolutional layer,Couche de convolution
Convolutional network,Réseau de neurones convolutifs
Convolutional neural network,Réseau convolutif
Convolutional operation,Opération convolutive
Cook's D,Distance de Cook
Cook's distance,Distance de Cook
Cook’s Distance Plot,Diagrame de la distance de Cook
Cooper's pair,Paire de Cooper
Coordinate system,Système de coordonnées
Coppersmith–Winograd algorithm,Algorithme de Coppersmith-Winograd
COPS,COPS
Cornelian dilemma,Dilemme cornélien
Corpus,Corpus
Corpuscle-wave duality,Dualité onde-particule
Corrected Akaike information criterion,Critère d'information d'Akaike corrigé
Correction factor,Facteur de correction
Correction for continuity,Correction de Sheppard
Correction objective,Objectif de correction
Correlated samples t-test,Test t pour échantillons appariés
Correlation,Corrélation
Correlation coefficient,Corrélation
Correlation index,Indice de corrélation
Correlation matrix,Matrice de corrélation
Correlation ratio,Rapport de corrélation
Correlation table,Table de corrélation
Correlogram,Corrélogramme
Correspondence analysis,Analyse des correspondances
Cortana,Cortana
Cosine distribution,Distribution cardioïde
Cosine measure,Métrique de similarité cosinus
Cosine similarity,Métrique de similarité cosinus
Cost function,Fonction de coût
Count,Décompte
Countermeasure,Contre-mesure de sécurité
Countermeasures,Contre-mesures
Counting process,Processus de dénombrement
Coupler,Coupler
Couverture,Couverture
Covariance,Covariance
Covariance function,Fonction de covariance
Covariance matrix,Matrice de dispersion
Covariance structure,Structure de covariance
Covariate,Covariable
Covariation,Covariation
Cover's theorem,Théorème de Cover
Coverage,Couverture
Covering algorithm,Algorithme de couverture
Cox model,Modèle de régression à effet proportionnel
Cox process,Processus de Cox
Cox regression model,Modèle de régression à effet proportionnel
Cox's regression model,Modèle de régression de Cox
Cox's theorem,Théorème de Cox-Jaynes
Cox-Jayne theorem,Théorème de Cox-Jaynes
Cox-Jaynes theorem,Théorème de Cox-Jaynes
Crack,Craquer
Cracking,Craquage
Craig's theorem,Théorème de Craig
Cramér-Rao bound,Limite de Cramér-Rao
Cramér-von Mises test,Test de Cramér-Von Mises
Crash,Plantage
Creative adversarial network,Réseau antagoniste créatif
Credibility limits,Limites de probabilité
Credible Interval,Intervalle de crédibilité
Credit assignment problem,Problème d'attribution du mérite
Crescendo Multi-Turn LLM Jailbreak,Débridage en plusieurs coups
CRID registry,Registre CRID
Critical infrastructure,Infrastructure essentielle
Critical region,Zone de rejet
CRM,Gestion de la relation client
Cromwell’s Rule,La règle de Cromwell
Cronbach's alpha,Alpfa de Cronbach
Cross entropy,Entropie croisée
Cross over design,Plan croisé
Cross product,Produit cartésien
Cross sorting,Tri croisé
Cross spectrum,Spectre croisé
Cross-classification table,Tableau de contingence
Cross-correlation,Corrélation croisée
Cross-entropy method,Méthode de l'entropie croisée
Cross-over design,Plan croisé
Cross-Silo Federated Learning,Apprentissage fédéré interentreprises
Cross-spectrum,Spectre croisé
Cross-validation,Validation croisée
Crossed factors,Fréquence absolue
Crossover,Croisement
Crossover design,Plan croisé
Crosstalk,Diaphonie
Crowdsourcing,Microtravail
Crushing the Schrödinger wave function,Ecrasement de la fonction d’onde de Schrödinger
Cryogenics,Cryogénie
Cryptanalysis,Analyse cryptographique
Crypto currency,Cryptomonnaie
Cryptoanalysis,Analyse cryptographique
Cryptographic Hash Function,Fonction de hachage cryptographique
Cryptographic key,Clé cryptographique
Cryptography,Cryptographie
Cryptology,Cryptologie
CSWAP gate,Porte de Fredkin
CTC framework,Classification temporelle connexionniste
Cube,Hypercube de données
Cube network,Réseau cubique
Cubic lattice,Réseau cubique
Cumulant,Semi-invariant
Cumulative distribution function,Fonction de répartition
Cumulative error,Erreur accumulée
Cumulative frequency curve,Courbe de répartition
Cumulative incidence,Incidence cumulative
Cumulative probability curve,Courbe de répartition
Cumulative sum chart,Carte CUSUM
Cumulative Sum control chart procedures,Procédures CUSUM
Curriculum learning,Apprentissage par curriculum
Curse of dimensionality,Fléau de la dimension
Curve fitting,Ajustement d'une courbe
Curve graph,Graphique linéaire
Curve of concentration,Courbe de Lorenz
Curve of the integral of the frequency curve,Courbe de répartition
Curvilinear correlation,Corrélation curviligne
Curvilinear regression,Régression non linéaire
Curvilinear trend,Tendance curviligne
Customer relationship management,Gestion de la relation client
CUSUM chart,Carte CUSUM
CUSUM procedures,Procédures CUSUM
Cyber incident,Cyberincident
Cyber security,Cybersécurité
Cyber threat,Cybermenace
Cyberattack,Cyberattaque
Cybersecurity,Cybersécurité
Cyberspace,Cyberespace
Cyberthreat,Cybermenace
Cycle,Cycle
Cyclic graph,Graphe cyclique
Cyclic order,Ordre cyclique
Cylindrical coordinate system,Système de cordonnées cylindriques
D-Wave,D-Wave
DaaS,Données-service
Daemon,Démon
DALL-E,DALL-E
Damped oscillation,Oscillation amortie
Damped window,Fenêtre pondérée
Dark data,Données sombres
Dark Side Hacker,Dark Side Hacker
Darkforest,Darkforest
Darmois-Koopman's distribution,Distribution de Darmois-Koopman
Darmois-Skitovich theorem,Théorème de Darmois-Skitovich
Data,Données
Data accuracy,Intégrité des données
Data Activation,Activation des données
Data analist,Analyste des données
Data analysis,Analyse des données
Data analyst,Analyste de données
Data analytics,Analyse des données
Data annotation,Annotation des données
Data architect,Architecte de données
Data as a service,Données-service
Data augmentation,Augmentation des données
Data augmentation algorithm,Algorithme d'augmentation de données
Data binning,Répartition par classes
Data block,Bloc de données
Data breach,Brèche
Data capture,Capture de données
Data center,Centre de traitement de données
Data centre,Centre de traitement de données
Data centric AI,IA centrée sur les données
Data cleaning,Nettoyage de données
Data cleansing,Nettoyage de données
Data clustering,Regroupement de données
Data completeness,Complétude des données
Data compliance,Conformité des données
Data consistency,Intégrité des données
Data control language,Langage de contrôle de données
Data Cooking,Nettoyage de données
Data cube,Hypercube de données
Data curator,Curateur de données
Data de-anonymization,Réidentification des données
Data Discretization,Discrétisation des données
Data distribution,Distribution des données
Data dredging,"""Yeuxtage"" de données"
Data drift,Dérive des données
Data Driven Attack,Attaque fondée sur des données
Data driven pedagogy,Pédagogie pilotée par les données
Data dump,Vidage de mémoire
Data Efficient Learning,Apprentissage efficace des données
Data Encryption Standard,Standard de chiffrement des données
Data engineer,Ingénieur de données
Data Engineering,Ingénierie de données
Data exfiltration,Vol de données informatiques
Data exhaust,Trace numérique
Data extrusion,Vol de données informatiques
Data feed training,Apprentissage au fur et à mesure
Data fishing,"""Yeuxtage"" de données"
Data fusion,Fusion de données
Data governance,Gouvernance des données
Data imputation,Imputation
Data ingestion,Ingestion de données
Data integration,Intégration de données
Data integrity,Intégrité des données
Data item label,Étiquette de données
Data journalism,Journalisme de données
Data label,Étiquette de données
Data labeling,Annotation des données
Data lake,Lac de données
Data management,Gestion de données
Data mart,Magasin de données
Data medium,Support d'information
Data mining,Forage de données
Data model,Modèle de données
Data modelling,Modélisation des données
Data munging,Préparation de données
Data normalization objective,Objectif de normalisation de données
Data partitioning,Groupement de données par classe
Data pipeline,Chaîne de traitement
Data point,Point de données
Data poisoning,Empoisonnement de données
Data pre-processing,Prétraitement des données
Data processing,Traitement de données
Data processing center,Centre de traitement de données
Data profiling,Profilage des données
Data Purging,Purge des données
Data re-identification,Réidentification des données
Data reduction,Réduction des données
Data reporting,Rapportage
Data resilience,Résilience des données
Data Sampling,Échantillonnage des données
Data Sandbox,Bac à sable de données
Data Scaling,Format de conversion des données
Data scarsity,Rareté des données
Data science,Science des données
Data Scientist,Scientifique des données
Data scraping,Moissonnage du Web
Data scrubbing,Nettoyage de données
Data security,Sécurité des données
Data segmentation,Segmentation des données
Data set,Ensemble de données
Data set of features,Ensemble de données sur les caractéristiques
Data sink,Collecteur de données
Data snooping,"""Yeuxtage"" de données"
Data sovereignty,Souveraineté des données
Data sparseness,Parcimonie des données
Data sparsity,Parcimonie des données
Data steward,Intendant(e) de données
Data storytelling,Mise en récit de données
Data stream mining,Exploration de flux de données
Data stream training,Apprentissage au fur et à mesure
Data structure,Structure des données
Data tagging,Annotation des données
Data theft,Vol de données informatiques
Data transformation,Transformation de données
Data transformation objective,Objectif de transformation des données
Data valorisation,Valorisation de données
Data valorization,Valorisation de données
Data visualization,Visualisation de données
Data warehouse,Entrepôt de données
Data wrangling,Préparation de données
Data-Driven Documents,D3.js
Database,Base de données
Database administrator,Administrateur de base de données
Database as a service,Base de données-service
Database management system,Système de gestion de base de données
Database Manager,Gestionnaire de base de donnée
Dataframe,Dataframe
Datagram,Datagramme
Datalog,Datalog
Datapumping,ETL
Dataset,Ensemble de données
Dataset annotation,Annotation des données
Dataset API (tf.data),API Dataset (tf.data)
Dataset labeling,Annotation des données
Dataset tagging,Annotation des données
Datasphere,Datasphère
Datatification,Datatification
Dataviz,Visualisation de données
Datum,Données
DB Manager,Gestionnaire de base de donnée
DBaaS,Base de données-service
DBSCAN,DBSCAN
DCL,Langage de contrôle de données
DDOS,Attaque par déni de service distribué
De Casteljau's algorithm,Algorithme de de Casteljau
Deamon dialing,Numérotation démoniaque
Decentralized Artificial Intelligence,Intelligence artificielle décentralisée
Decentralized case-based reasoning,Raisonnement par cas décentralisé
Decile,Décile
Decision boundary,Frontière de décision
Decision function,Fonction de décision
Decision logic,Logique décisionnelle
Decision making,Prise de décision
Decision rule,Fonction de décision
Decision stump,Souche de décision
Decision support system,Informatique décisionnelle
Decision theory,Théorie de la décision
Decision tree,Arbre de décision
Decision tree learning,Apprentissage par arbre de décision
Decision-Maker,Décideur
Decision-making logic,Logique décisionnelle
Declarative programming,Programmation déclarative
Declarative representation,Représentation déclarative
Declarativism,Déclarativisme
Declassify,Déclassifier
Decomposable models,Modèles décomposables
Deconvolution,Déconvolution
Decreasing failure rate,Taux d'échec décroissant
Dedicated logic,Logique dédiée
Deduction reasoning,Raisonnement déductif
Deductive classifier,Classificateur déductif
Deductive data base,Base de données déductive
Deductive database,Base de données déductive
Deductive reasoning,Raisonnement déductif
Deep Belief Network,Réseau de croyances profond
Deep Belief Networks,Réseau de croyances profond
Deep Blue,Deep Blue
Deep convolutional GAN,Réseau antagoniste convolutif profond
Deep convolutional generative adversarial network,Réseau antagoniste convolutif profond
Deep Dream,Deep Dream
Deep feature,Caractéristique profonde
Deep Features,Caractéristique profonde
Deep learning,Apprentissage profond
Deep machine learning,Apprentissage profond
Deep model,Modèle profond
Deep network,Réseau de neurones profond
Deep neural net,Réseau de neurones profond
Deep neural network,Réseau de neurones profond
Deep Q learning,Apprentissage par fonction Q
Deep reinforcement learning,Apprentissage par renforcement profond
Deep Residual Network,Réseau résiduel profond
Deep structured learning,Apprentissage profond
Deep Thunder,Deep Thunder
Deepfake,Hypertrucage
DeepMind,DeepMind
Default logic,Logique par défaut
Default value,Valeur par défaut
Defective unit,Unité défectueuse
Defense in depth,Défense en profondeur
Defensive Distillation,Distillation défensive
Deferred time processing,Traitement par lots
Degree of confidence,Coefficient de confiance
Degree of Freedom,Degré de liberté
Degrees of freedom,Degrés de liberté
Dehaene–Changeux model,Modèle Dehaene-Changeux
Dekker's algorithm,Algorithme de Dekker
Delaunay triangulation,Triangulation de Delaunay
Deliberative agent,Agent délibératif
Delta-Bar-Delta,Delta-Bar-Delta
Demilitarized zone,Zone démilitarisée
Demodulation,Démodulation
Demographic Data,Données démographiques
Demographics,Données démographiques
Demon,Démon
Dempster-Shafer theory,Théorie de Dempster-Shafer
Dendral,Dendral
Dendrogram,Dendrogramme
Denial of Service,Attaque par déni de service
Denial of service,Attaque par déni de service
Denoising Autoencoders,Autoencodeur débruiteur
Denominator synthesis,Synthèse du Dénominateur
Denormalisation,Dénormalisation
Denormalization,Dénormalisation
Dense feature,Caractéristique dense
Dense layer,Couche entièrement connectée
Density Functional Theory,Théorie de la fonctionnelle de la densité
Density-based clustering,Agrégation basée sur la densité
Deny list,Liste de rejet
Denylist,Liste de rejet
Dependency-directed backtracking,Retour arrière dirigé par les dépendances
Dependent continuant,Continuant dépendant
Dependent variable,Variable dépendante
Depth first search,Algorithme de parcours en profondeur
Derived statistics,Fonctions déduits des observations
Descent direction algorithm,Algorithme à directions de descente
Description logic,Logiques de description
Descriptive Analytics,Analytique descriptive
Descriptive statistical calculation,Calcul d'une statistique descriptive
Descriptive statistical calculation data transformation,Calcul d'une statistique descriptive
Descriptive statistics,Statistiques descriptives
Descriptive survey,Enquête descriptive
Descriptor,Descripteur
Design matrix,Matrice de conception
Design of experiments,Plan d'expérience
Design specification,Spécification du plan
Development and operations,DévEx
Developmental robotics,Robotique épigénétique
Deviance,Déviance
Deviance information criterion,Critère d'information de déviance
Deviate,Écart
Deviation,Écart
Device shadow,Jumeau numérique
DevOps,DévEx
Diagnosis,Diagnostic
Diagonalisable matrix,Matrice diagonalisable
Diagram,Diagramme
Dialog management,Gestion du dialogue
Dialog manager,Gestion du dialogue
Dichotomous variable,Variable dichotomique
Dielectric,Diélectrique
Difference of Gaussian,Différence de gaussiennes
Differential equation,Équation différentielle
Differential expression analysis objective,Objectif d'analyse d'expression différentielle
Diffie-Helllman Key Exchange,Échange de clés Diffie-Hellman
Diffraction,Diffraction
Diffuse prior,A priori vague
Diffusion index,Indice de diffusion
Diffusion map,Carte de diffusion
Diffusion model,Modèle de diffusion
Diffusion probabilistic models,Modèle de diffusion
Digamma function,Fonction digamma
Digital assets,Actif numérique
Digital ciphering,Chiffrement numérique
Digital computer,Calculateur numérique
Digital computer unit,Calculateur numérique
Digital encrypting,Chiffrement numérique
Digital encryption,Chiffrement numérique
Digital file,Fichier informatique
Digital footprint,Trace numérique
Digital image,Image numérique
Digital modeling,Modélisation numérique
Digital signature,Signature numérique
Digital simulation,Simulation numérique
Digital sweatshop,Atelier de misère numérique
Digital trail,Trace numérique
Digital twin,Jumeau numérique
Dijkstra's algorithm,Algorithme de Dijkstra
Dijkstra’s Algorithm,Algorithme de Dijkstra
Dilution refrigerator,Réfrigérateur à dilution
Dimension reduction,Réduction de la dimension
Dimensionality reduction,Réduction de la dimension
Dimensionless ratio,Rapport sans dimension
Dirac delta function,Distribution de Dirac
Direct correlation,Corrélation positive
Direct method of standardization,Standardisation directe
Direct neural interface,Interface neuronale directe
Direct probability,Probabilité directe
Direct product,Produit cartésien
Direct sampling,Sondage direct
Direct standardisation,Standardisation directe
Direct standardization,Standardisation directe
Directed search,Recherche heuristique
Dirichlet distribution,Distribution de Dirichlet
Dirichlet process,Processus de Dirichlet
Dirty data,Données sales
Disagreement set,Ensemble de discordance
Disambiguating rule,Règle de désambiguïsation
Disambiguation rule,Règle de désambiguïsation
Discontinuous variable,Discontinuous variable
Discordance,Discordance
Discrepancy Statistics,Statistiques de discordance
Discrete data,Données discrètes
Discrete distribution,Distribution discrète
Discrete feature,Caracteristique discrète
Discrete logarithm,Log discret
Discrete Pareto distribution,Distribution de Pareto discontinue
Discrete probability distribution,Loi de probabilité discrète
Discrete random variable,Variable aléatoire discrète
Discrete rectangular distribution,Distribution uniforme continue
Discrete system,Système discret
Discrete variable,Discrete variable
Discretization of continuous data,Discrétisation des données
Discrimination network,Réseau discriminant
Discriminative model,Modèle prédictif
Disentangled Representation Learning,Apprentissage par représentation dissociée
Disjunctive concept,Concept disjonctif
Disparity,Disparité
Dispersion analysis,Analyse de la dispersion
Dispersion index,Indice de dispersion
Dispersion matrix,Matrice de dispersion
Distance measure,Mesure de distance
Distance measurement,Mesure de distance
DistBelief,TensorFlow
Distillation,Distillation
Distributed artificial intelligence,Intelligence artificielle distribuée
Distributed computing,Informatique en grille
Distributed DoS attack,Attaque par déni de service distribué
Distributed Intelligence,Intelligence distribuée
Distributed lag,Retard distribué
Distributed lag model,Retard distribué
Distributed representation,Représentation répartie
Distribution,Distribution
Distribution curve,Courbe de répartition
Distribution function,Fonction de répartition
Ditransitive,Ditransitif
Divergence,Divergence
Divisia's index,Indice de Divisia
Docker container,Conteneur Docker
Domain adaptation,Adaptation de domaine
Domain model,Modèle de domaine
Dominance-based rough set approach,Approche des ensembles approximatifs basée sur la dominance
Données hors production,Données hors distribution
Donsker's theorem,Théorème de Donsker
Doppler effect,Effet Doppler
DoS,Attaque par déni de service
Dose response curve,Courbe de réponse à la dose
Dot chart,Diagramme par points
Dot graph,Diagramme par points
Dot plot,Nuage de points
Double backprop,Double rétropropagation
Double exponential distribution,Distribution de Laplace
Double hypergeometric distribution,Distribution doublement hypergéométrique
Double logarithmic chart,Diagramme logarithmique
Double logarithmic graph,Diagramme logarithmique
Double sampling,Échantillonnage double
Double-blind,En double aveugle
Double-log chart,Diagramme logarithmique
Double-log graph,Diagramme logarithmique
Double-ratio chart,Diagramme logarithmique
Double-stage sampling,Échantillonnage à deux degrés
Double-tailed test,Test bilatéral
Doubly stochastic matrix,Matrice bistochastique
Doubly stochastic Poisson process,Processus de Cox
Drawing a conclusion,Tirer une conclusion
Drawing a conclusion based on data,Tirer une conclusion à partir des données
Dremel,Dremel
Drill Down,Zoom avant
Drill up,Zoom arrière
Dropout,Extinction de neurone
Dropout regularization,Régularisation par abandon
Duality principle,Dualité onde-particule
Dummy Variable,Variable factice
Dump,Vidage de mémoire
Duncan's multiple comparaison test,Test de Duncan
Duncan's test,Test de Duncan
Dunn's test,Test de Dunn
Dunnett's test,Test de Dunnett
Durbin Watson statistic,Coefficient de Durbin-Watson
Durbin-Watson statistic,Coefficient de Durbin-Watson
Dusty data,Données sombres
Dynamic Bayesian Network,Réseau bayésien dynamique
Dynamic constraint satisfaction problem,Problème de satisfaction de contraintes dynamiques
Dynamic model,Modèle dynamique
Dynamic Neural Network,Réseau de neurones dynamique
Dynamic programmation,Programmation dynamique
Dynamic programming algorithm,Algorithme de programmation dynamique
Dynamic time warping,Comparaison dynamique
E-mail bombing,Bombardement de courriels
Eager learning,Apprentissage avide
Early stopping,Arrêt prématuré
Ebert test,Test d'Ebert
Echo state network,Réseau à états échoïques
Eclat algorithm,Algorithme Eclat
Ecologic study,Étude écologique
Ecological fallacy,Erreur écologique
Econometrics,Économétrie
Edge AI,IA périphérique
Edge Analytics,Analytique en périphérie de réseau
Edge computing,Infonuagique proximale
Edge detector,Détecteur de rebord
Edge effects,Effets de bord
Edge interface,Interface de bordure
Edgeworth's series,Série d'Edgeworth
Effect size estimate,Estimation de la valeur de l'effet
Effective branching factor,Facteur de branchement effectif
Effective dose 50,Dose effective médiane
Effective index method,Méthode de l’indice effectif
Effective range,Étendue effective
Effector,Effecteur
Efficiency,Efficacité
Efficiency factor,Facteur d'efficacité
Egress Traffic,Trafic sortant
Ehrenfest model,Modèle d'Ehrenfest
Eigen decomposition,Décomposition d'une matrice en éléments propres
Eigen vector,Vecteur propre
Eigenface,Eigenface
Eigenspace,Espace propre
Eigenstate,Eigenstate
Eigenvalue,Valeur propre
Eigenvector,Vecteur propre
Elastic Net,Régularisation mixte L1-L2
ElasticNet,Régularisation mixte L1-L2
Elasticsearch,Elasticsearch
Elbow method,Méthode du coude
Electro-absorption modulator,Modulateurs électroabsorbant
Electro-optic phase shifter,Déphaseur électro-optique
Electromagnetic spectrum,Spectre électromagnétique
Electron,Électron
Electron shells,Niveaux d'énergie
Electronic signature,Signature numérique
Elementary unit,Unité élémentaire
ELIZA,ELIZA
Ellipsoid method,Méthode de l'ellipsoïde
Elliptic-curve cryptography,Cryptographie sur les courbes elliptiques
Elliptical distribution,Distribution elliptique
Elliptical normal distribution,Distribution elliptique
Ellsberg's paradox,Paradoxe d'Ellsberg
ELSA speak,ELSA speak
ELT process,"Processus d'extraction, de chargement et de transformation des données"
EM algorithm,Algorithme EM
Email bombing,Bombardement de courriels
Email filtering,Filtrage des courriels
Emanation security,Sécurité des émissions
Embedded artificial intelligence,Intelligence embarquée
Embedded intelligence,Intelligence embarquée
Embedded sentence,Phrase matrice
Embedding,Vecteur sémantique compact
Embodied agent,Agent animé
Embodied conversational agent,Agent d'interface animé
Embodied intelligence,Intelligence incorporée
Embodiment,Incarnation
Emission security,Sécurité des émissions
Emotion AI,Analyse des sentiments
Emotion recognition,Reconnaissance d'émotions
Empirical distribution,Distribution empirique
Empirical distribution function,Fonction de répartition empirique
Empirical exponential family,Famille exponentielle
Empirical risk minimization,Minimisation du risque empirique
Empty clause,Clause vide
Emu Video,Emu Video
Encoder-decoder model,Modèle encodeur-décodeur
Encrypted text,Texte chiffré
End system,Système d’extrémité
End-to-end encipherment,Chiffrement de bout en bout
End-to-end encryption,Chiffrement de bout en bout
End-to-end learning,Apprentissage de bout-en-bout
End-to-end translation,Traduction parole à parole
End-user system,Système utilisateur
Endogenous variable,Variable endogène
Energy Levels,Niveaux d'énergie
Energy-based model,Modèle basé sur l'énergie
Enhanced Interaction,Interaction augmentée
Enhanced interaction framework,Interaction augmentée
Ensemble,Groupe
Ensemble averaging,Moyenne de l'ensemble
Ensemble learning,Apprentissage ensembliste
Enshittification,Merdification
Entailment,Implication logique
Environmental statistics,Statistique environnementale
Epigenetic robotics,Robotique épigénétique
Epipolar geometry,Géométrie épipolaire
Epistemic logic,Logique épistémique
Epoch,Époque
Eps,Eps
Epsilon,Eps
Equal diagonal Factor Analytic covariance structure,Structure de covariance analytique factorielle de diagonal égale
Equal variance testing objective,Objectif de test de l'égalité des variance
Equipment emission,Émission d’équipement
Equitable game,Jeu équitable
Equivalence testing,Essai d'équivalence
Equivalent dose,Dose équivalente
Equivariant estimator,Estimateur equivariant
Ergodicity,Ergodicité
Erlang distribution,Distribution d'Erlang
Error,Résidu
Error back propagation,Rétropropagation d'erreurs
Error band,Bande d'erreur
Error corrected data set,Ensemble de données corrigées
Error correction data transformation,Transformation de données par correction d'erreur
Error correction objective,Objectif de correction d'erreur
Error feedback propagation,Rétropropagation d'erreurs
Error function,Fonction d'erreur
Error margin,Marge d'erreur
Error of estimation,Erreur d'estimation
Error of first kind,Erreur de première espèce
Error of observation,Erreur d'observation
Error of second kind,Erreur de deuxième espèce
Error sum of squares,Somme des carrés des erreurs
Error surface,Surface d'erreur
Error-Based Learning,Apprentissage piloté par erreur
Error-driven learning,Apprentissage piloté par erreur
Errors in surveys,Erreurs dans les enquêtes
Errors-in-variables model,Modèle d'erreur dans les variables
Estimate,Valeur estimée
Estimating equation,Équation d'estimation
Estimation,Valeur estimée
Estimation equation,Équation d'estimation
Estimation of Distribution Algorithms,Algorithme à estimation de distribution
Eta-squared,Eta-carré
ETC,ETC
Ethernet Sniffing,Reniflage Ethernet
Ethics,Éthique
Ethics of artificial intelligence,Éthique de l'intelligence artificielle
Etiologic fraction,Fraction étiologique
Etiological fraction,Fraction attribuable
EU theory,Théorie de l'utilité
Euclidean algorithm,Euclidean algorithm
Euclidean distance,Distance euclidienne
Euclidean network,Réseaux euclidiens
Eugenics,Eugénisme
Eugenism,Eugénisme
Euler function,Fonction gamma
Eulerian function,Fonction gamma
Euler–Lagrange equation,Équation d'Euler-Lagrange
Euler–Maclaurin formula,Formule d'Euler-Maclaurin
Evaluant role,Rôle d'évaluateur
Evaluation Metrics,Métriques d'évaluation
Event sink,Collecteur de données
Event space,Espace échantillon
Evidence lower bound,Borne inférieure variationnelle
Evolutionary algorithm,Algorithme évolutionniste
Evolutionary computation,Calcul évolutif
Evolutionary multimodal optimization,Optimisation multimodale évolutionniste
Evolutive vocabulary tree,Arbre de vocabulaire évolutif
Evolving classification function,Fonction de classification évolutive
Exabyte,Exaoctet
Exact chi-squared test,Test de Fisher-Irwin
Exact test,Test exact
Example,Exemple
ExBERT,ExBERT
Excess error,Erreur en excès
Excitatory,Excitateur
Existential risk,Risque existentiel
Exogenous variable,Variable exogène
Exoskeleton,Robot portable
Expectation,Espérance mathématique
Expectation Maximization,Algorithme EM
Expectation of life,Espérance de vie
Expectation-driven parser,Analyseur prédictif
Expectation–Maximization,Algorithme EM
Expectation–Maximization algorithm,Algorithme EM
Expected error estimate,Estimation de l'erreur prédite
Expected loss,Espérance de perte
Expected utility theory,Théorie de l'utilité
Expected value,Espérance mathématique
Experimental unit,Unité expérimentale
Experimental unit role,Rôle d'unité expérimentale
Expert assistant,Système d'aide intelligent
Expert help system,Système d'aide intelligent
Expert model,Modèle expert
Expert system,Système expert
Explainable artificial intelligence,Intelligence artificielle explicable
Explanation-based learning,Apprentissage basé sur l'explication
Explanatory variable,Variable descriptive
Explicability,Explicabilité
Exploding Gradient Problem,Problème de l'explosion du gradient
Exploit,Vulnérabilité informatique
Exploratory data analysis,Exploration de données
Exploratory survey,Enquête exploratoire
Exponential class,Famille exponentielle
Exponential dispersion model,Modèle de dispersion exponentielle
Exponential Distribution,Distribution exponentielle
Exponential family,Famille exponentielle
Exponential regression,Régression exponentielle
Expressiveness,Expressivité
Extended negative binomial distribution,Distribution binomiale négative généralisée
External validity,Validité externe
Extract load transform process,"Processus d'extraction, de chargement et de transformation des données"
"Extract, Transform, Load",ETL
Extrapolation,Extrapolation
Extremal statistic,Valeur extrême
Extreme learning machine,Machine à apprentissage extrême
Extreme learning machines,Machines d'apprentissage extrême
Extreme studentized deviate test,Test de Grubbs
Extreme-value distributions,Distribution de Gumbel
F distribution,Loi de Fisher
F test,Test de Fisher
F-Distribution,Loi de Fisher
F-statistic,Statistique F
F1 score,Mesure F1
Fabrication errors,Erreurs de fabrication
Face detection,Détection de visage
Facet,Facette
Facial animation,Animation faciale par ordinateur
Facial motion capture,Capture de mouvement du visage
Facial recognition,Reconnaissance faciale
Facial template,Gabarit facial
FACT,FACT
Fact base,Base de faits
Factographic data base,Base de faits
Factor,Facteur
Factor analysis,Analyse factorielle
Factor Analytic covariance structure,Structure de covariance analytique factorielle
Factor graph,Graphe de facteurs
Factor level,Niveau de facteur
Factor level combination,Combinaison de niveaux de facteurs
Factor matrix,Matrice des facteurs
Factor pattern,Schéma des facteurs
Factor rotation,Rotation des facteurs
Factorial design,Plan factoriel
2x2 factorial design,Plan factoriel 2x2
Factorial distribution,Distribution factorielle
Factorial experiment,Expérience factorielle
Factorial function,Fonction gamma
Factorial moment,Moment factoriel
Factual data base,Base de faits
Faddeev–LeVerrier algorithm,Algorithme de Faddeev-Leverrier
Failover,Basculement
Failure rate,Taux de défaillance
Fair cryptosystem,Autorité de séquestre
Fair game,Jeu équitable
False discovery rate correction method,Méthode de correction du taux de fausses découvertes
False negative,Faux négatif
False negative error,Erreur de deuxième espèce
False negative rate,Taux de faux négatif
False positive,Faux positif
False positive error,Erreur de première espèce
False positive rate,Taux de faux positifs
False under an interpretation,Faux dans une interprétation
Falsifier,Falsification
Family tree,Arbre généalogique
Family wise error rate correction method,Méthode de correction du taux d'erreur par famille
Far-field voice processing,Traitement de la voix en champ lointain
Fashion electronics,Habitronique
Fashion technology,Habitronique
Fast Fourier transform,Transformée de Fourier rapide
Fast-and-frugal tree,Arbre rapide et frugal
Fast-and-frugal trees,Arbre rapide et frugal
Fatou's lemma,Lemme de Fatou
Fault-tolerant computer,Système à tolérance de pannes
Fault-Tolerant Quantum Computer,Ordinateur quantique résistant aux erreurs
Fault-tolerant system,Système à tolérance de pannes
Feasible generalized least squares estimation,Estimation des moindres carrés généralisés réalisable
Feature,Caractéristique
Feature analysis,Appariement par forme de référence
Feature columns,Colonnes de caractéristiques
Feature cross,Croisement de caractéristiques
Feature engineering,Ingénierie des attributs
Feature extraction,Extraction d'attributs
Feature Hashing,Hachage des caractéristiques
Feature importance,Diagramme de l'importance des attributs
Feature Importances Plot,Diagramme de l'importance des attributs
Feature learning,Apprentissage d'attributs
Feature map,Carte d'attributs
Feature reduction,Réduction de dimensionnalité
Feature selection,Sélection de caractéristiques
Feature set,Ensemble de caractéristiques
Feature spec,Spécifications des caractéristiques
Features engineering,Ingénierie des attributs
Federated learning,Apprentissage fédéré
Feedback propagation,Rétropropagation d'erreurs
